RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
9,7398275668,70,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"25-49,999€",Milan,Unaware, ,0.966666667
10,7396918678,60,Female,North west,Basketball is one of my top sports,No,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,0.993939394
11,7397059106,56,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Unaware, ,1.023529412
12,7398761102,57,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,I would not support a Milan NBA team,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Unaware, ,1.004081633
13,7397424444,62,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,Yes,Yes,Yes,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,AC Milan Fan,55+,"25-49,999€",Milan,Unaware, ,0.920240964
14,7397202486,70,Female,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,10.000€ to 14.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"0-24,999€",Milan,Overall Interested,Non Watcher,0.920240964
15,7395279142,65,Male,North west,I watch basketball occasionally,No,Yes,Yes,No,No,No,Neither likely nor unlikely,Very unlikely,I don't like football branding in basketball,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Other Serie A Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
16,7399135832,66,Male,North west,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Somewhat likely,Neither likely nor unlikely,I support a different football club and therefore would be less interested,No change, ,Yes,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.023529412
17,7399009490,46,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,0.992682927
18,7399100924,46,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,0.992682927
19,7398921834,39,Male,North west,"I follow basketball regularly, but it's secondary",Yes,Yes,No,No,No,No,Somewhat likely,Very likely, ,Moderately increase my interest, ,Yes,No,No,Yes,Yes,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,15.000€ to 19.999€ per year,Milano,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Other Serie A Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,1.004081633
20,7399135798,53,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Very likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,Significantly increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Inter Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.023529412
21,7399170790,36,Female,North west,Basketball is one of my top sports,Yes,No,Yes,Yes,Yes,No,Somewhat likely,Very likely, ,Significantly increase my interest, ,Yes,Yes,Yes,Yes,Yes,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,15.000€ to 19.999€ per year,Milano,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,AC Milan Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,0.920240964
22,7399009450,61,Female,North west,Basketball is one of my top sports,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,0.993939394
23,7399135842,69,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat unlikely,I don't like football branding in basketball,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"50,000€ +",Milan,Unaware, ,0.992682927
24,7399243008,43,Male,North west,Basketball is one of my top sports,Yes,No,No,No,No,No,Very likely,Very likely, ,Significantly increase my interest, ,No,Yes,Yes,Yes,Yes,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,10.000€ to 14.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,AC Milan Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,1.056101695
25,7399170798,61,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,70.000€ to 99.999€ per year,Milano,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Other Serie A Fan,55+,"50,000€ +",Milan,Unaware, ,0.993939394
26,7399309856,77,Male,North west,Basketball is one of my top sports,No,No,Yes,No,No,No,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Other Serie A Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
27,7399243014,58,Male,North west,"I follow basketball regularly, but it's secondary",Yes,No,Yes,No,No,No,Somewhat unlikely,Very likely, ,Significantly increase my interest, ,Yes,Yes,Yes,Yes,Yes,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Other Serie A Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
28,7399353714,43,Male,North west,Basketball is one of my top sports,Yes,Yes,Yes,Yes,No,No,Very likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,Yes,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
29,7399353766,67,Female,North west,"I follow basketball regularly, but it's secondary",Yes,No,Yes,No,No,No,Somewhat likely,Very likely, ,Moderately increase my interest, ,Yes,No,No,Yes,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,Yes,No,No,No,No,No,No,No,AC Milan Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,0.920240964
30,7399382822,39,Female,North west,"I follow basketball regularly, but it's secondary",No,Yes,No,No,No,No,Neither likely nor unlikely,Somewhat likely, ,Slightly increase my interest, ,No,No,No,No,Yes,No,Buy merchandise,Because it is Italy's team in the league,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,No,No,Yes,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,0.920240964
31,7399170826,46,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat unlikely,Very likely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,"Because it represents Milan, regardless of club",No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,0.993939394
32,7399361508,47,Male,North west,I generally do not follow basketball, , , , , , ,Very likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,1.056101695
33,7399279028,51,Male,North west,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,Yes,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,Yes,Yes,No,No,Yes,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Inter Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.023529412
34,7398880364,58,Female,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Somewhat likely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,Yes,No,Yes,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,AC Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Non Watcher,0.920240964
35,7399386914,53,Male,North west,I watch basketball occasionally,No,No,No,Yes,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
36,7399205952,53,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Inter Milan Fan,35-54,"0-24,999€",Milan,Unaware, ,0.966666667
37,7399135794,35,Male,North west,"I follow basketball regularly, but it's secondary",Yes,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,Yes,Yes,Yes,Yes,Yes,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,100.000€ to 149.999€ per year,Milano,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
38,7399361542,46,Female,North west,Basketball is one of my top sports,No,No,Yes,No,No,No,Very likely,Very likely, ,Moderately increase my interest, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,150.000€ and over,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,Yes,No,No,No,No,No,No,No,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,0.920240964
